"doc_path","document_class","materialization_decision","decision_rationale","disposition","standard_ids","semantic_owner_node_ids","materialized_target_node_ids","rollup_not_applicable_node_ids","materialized_rule_ids","rollup_not_applicable_rule_ids","human_decision"
"docs/adr-A2-capability.md","directive-contract","reference-only","ADR-A2 — Capability / Entitlement: Yetenek ve Yetkilendirme Primitifi: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","k-capability","","","","","no"
"docs/adr-A3-mode-profile.md","directive-contract","reference-only","ADR-A3 — Mode-Profile: İş Modeli Runtime Bileşim Primitifi: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","k-mode","","","","","no"
"docs/adr-A4-computation.md","directive-contract","reference-only","ADR-A4 — Computation / Derivation: Türetilmiş Değer Primitifi: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","k-computation","","","","","no"
"docs/adr-K1-kernel-kimlik.md","directive-contract","reference-only","ADR-K1 — Kernel Kimliği, Sınırı ve Stack Kilidi: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","app-kernel|k-schema","","","","","no"
"docs/adr-P1-pdp.md","directive-contract","reference-only","ADR-P1 — PDP (Policy Decision Point): Merkezî Yetki-Karar Primitifi: sözleşme bağlamı sunar; etkin rule seçimi olmadan görev prose'una kopyalanmaz.","task-ref","","k-policy-pdp","","","","","no"
"docs/adr-geo-visualization.md","directive-contract","task-materialize","deck.gl/MapLibre sınırı, MVT performansı, tenant izolasyonu ve erişilebilir fallback doğrudan geo-map yüzeyinin test ve doğrulama sözleşmesidir.","task-materialized+task-ref","","geo-map-surface","geo-map-surface","","geo-visualization-runtime-contract","","no"
"docs/agreement-clm-app-referans.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref","","s-esign","s-clm","","catalog-agreement-clm-composition-map","","no"
"docs/ai-governance-master.md","catalog-reference","task-materialize","AI Yönetişim Master Yönergesi: etkin rule içinde seçili WBS görevlerine dosyaya özgü içerik kaynağı olur.","task-materialized+task-ref","","s-ai-governance|sus-ai-uretim-sozlesmesi","s-ai-governance","","ai-governance","","no"
"docs/app-distribution-contract.md","human-decision","human-decision","User/Admin yetkisindeki platform architecture/release ve CPO, ADR-D2 ile D2.1–D2.4 manifest-izolasyon-entitlement-kernel-range kararlarını kabul etmelidir; PMO gerçek distribution WBS sahibini oluşturmadan deploy-yap veya Product görevi owner olamaz.","task-materialized+task-ref+decision-ref+human-decision","","k-capability","deploy-yap","","decision-app-distribution-contract","","yes"
"docs/app-enterprise-definition-contract.md","directive-contract","reference-only","Bu typed sözleşme generic prose kopyası yerine appDefinition, moduleDefinition, deliveryContext, standardRefs ve dedicated CI checker alanlarıyla ilgili bütün JSON görevlere uygulanır.","standard-ref+task-ref","enterprise-delivery|sdk-development","app-content-collaboration-x-atom|app-content-collaboration-x-kum|app-content-collaboration-x-molekul|app-content-collaboration-x-tas|app-customer-revenue-x-atom|app-customer-revenue-x-kum|app-customer-revenue-x-molekul|app-customer-revenue-x-tas|app-data-intelligence-x-atom|app-data-intelligence-x-kum|app-data-intelligence-x-molekul|app-data-intelligence-x-tas|app-finance-x-atom|app-finance-x-kum|app-finance-x-molekul|app-finance-x-tas|app-hr-x-atom|app-hr-x-kum|app-hr-x-molekul|app-hr-x-tas|app-landx|app-landx-core|app-platform-horizontal-x-atom|app-platform-horizontal-x-kum|app-platform-horizontal-x-molekul|app-platform-horizontal-x-tas|app-supply-chain-x-atom|app-supply-chain-x-kum|app-supply-chain-x-molekul|app-supply-chain-x-tas|app-vertical-x-atom|app-vertical-x-kum|app-vertical-x-molekul|app-vertical-x-tas|atom-crm-domain-blocklist|atom-crm-email-regex|atom-crm-score-range-check|customer|customer-app-core-shell|dist-agritech|dist-agritech-core|dist-construction|dist-construction-core|dist-ngo|dist-ngo-core|dist-realestate|dist-realestate-core|dist-sahibinden|dist-sahibinden-core|dist-site|dist-site-core|dist-travel|dist-travel-core|dist-veteriner|dist-veteriner-core|edition-creator|edition-creator-core|edition-departman-copilot|edition-departman-copilot-core|edition-onmuhasebe|edition-onmuhasebe-core|edition-people|edition-people-core|edition-randevu|edition-randevu-core|edition-salescrm|edition-salescrm-core|edition-storefront|edition-storefront-core|kum-crm-lead-dedup|kum-crm-lead-scoring|landx-l0|landx-l1|landx-l2|landx-l3|landx-l4|landx-l5|m-crm-sales|molekul-crm-score-field-validator|molekul-crm-score-weight-config|product|s-accounting|s-accounting-core|s-ai|s-ai-catalog|s-ai-catalog-core|s-ai-core|s-ai-governance|s-ai-governance-core|s-ai-voice|s-ai-voice-core|s-ap-automation|s-ap-automation-core|s-ats|s-ats-core|s-audit|s-audit-core|s-bi|s-bi-core|s-billing|s-billing-core|s-bpm|s-bpm-core|s-channel-hub|s-channel-hub-core|s-classifieds|s-classifieds-core|s-clinic|s-clinic-core|s-clm|s-clm-core|s-cmms|s-cmms-core|s-cms|s-cms-core|s-commerce|s-commerce-core|s-comms|s-comms-core|s-community|s-community-core|s-consolidation|s-consolidation-core|s-conversational|s-conversational-core|s-cpq|s-cpq-core|s-crm|s-crm-core|s-cyber-grc|s-cyber-grc-core|s-data-catalog|s-data-catalog-core|s-data-cleansing|s-data-cleansing-core|s-demand-planning|s-demand-planning-core|s-dms|s-dms-core|s-doc-matching|s-doc-matching-core|s-drive|s-drive-core|s-dropshipping|s-dropshipping-core|s-ecommerce-models|s-ecommerce-models-core|s-education|s-education-core|s-esg|s-esg-core|s-esign|s-esign-core|s-etl|s-etl-core|s-event|s-event-core|s-expenses|s-expenses-core|s-fixed-assets|s-fixed-assets-core|s-fleet|s-fleet-core|s-fpa|s-fpa-core|s-fraud-trust|s-fraud-trust-core|s-fsm|s-fsm-core|s-helpdesk|s-helpdesk-core|s-hrms|s-hrms-core|s-i18n|s-i18n-core|s-iam|s-iam-core|s-incentive|s-incentive-core|s-inventory|s-inventory-core|s-iot|s-iot-core|s-ipaas|s-ipaas-core|s-isg|s-isg-core|s-kvkk|s-kvkk-core|s-kyc-aml|s-kyc-aml-core|s-legaltech|s-legaltech-core|s-lms|s-lms-core|s-loyalty|s-loyalty-core|s-mail|s-mail-core|s-marketing|s-marketing-core|s-marketplace|s-marketplace-core|s-membership|s-membership-core|s-mrp|s-mrp-core|s-observability|s-observability-core|s-onboarding|s-onboarding-core|s-payment-methods|s-payment-methods-core|s-payroll|s-payroll-core|s-performance|s-performance-core|s-pim|s-pim-core|s-pmo|s-pmo-core|s-pms|s-pms-core|s-pos|s-pos-core|s-predictive|s-predictive-core|s-procurement|s-procurement-core|s-product-feed|s-product-feed-core|s-property|s-property-core|s-purchase|s-purchase-core|s-quality|s-quality-core|s-rag|s-rag-core|s-restaurant|s-restaurant-core|s-retail-execution|s-retail-execution-core|s-revenue-copilot|s-revenue-copilot-core|s-revenue-recognition|s-revenue-recognition-core|s-rpa|s-rpa-core|s-sales|s-sales-core|s-scheduling|s-scheduling-core|s-social|s-social-commerce|s-social-commerce-core|s-social-core|s-studio|s-studio-core|s-subscription-analytics|s-subscription-analytics-core|s-subscription-commerce|s-subscription-commerce-core|s-survey|s-survey-core|s-tax-compliance|s-tax-compliance-core|s-tms|s-tms-core|s-traceability|s-traceability-core|s-treasury|s-treasury-core|s-wiki|s-wiki-core|s-wms|s-wms-core|s-workforce|s-workforce-core|stack-builder|stack-builder-core|stack-channel|stack-channel-core|stack-compliance|stack-compliance-core|stack-messaging|stack-messaging-core|stack-service|stack-service-core|stack-workspace|stack-workspace-core|tas-crm-lead-mgmt","","","","","no"
"docs/archetype-agreement-lifecycle-negotiation-directive.md","directive-contract","task-materialize","archetype-agreement Yönergesi — Sözleşme (Agreement) ArcheType ve Müz…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-clm","s-clm","","clm-lifecycle","","no"
"docs/archetype-budget-plan-directive.md","directive-contract","task-materialize","ArcheType Budget-Plan Yönergesi — Bütçe Planlama ve Plan-vs-Actual Me…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-fpa","s-fpa","","budget-plan","","no"
"docs/archetype-document-composition-directive.md","directive-contract","task-materialize","archetype-document-composition Yönergesi — Doküman Kompozisyon / Mont…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-dms","s-dms","","document-composition","","no"
"docs/archetype-eav-directive.md","directive-contract","task-materialize","Kaynağın gerçek WBS sahibi k-fieldtypes mevcut node setinde yoktur; belge s-pim'e yalnız consumer projection olarak uygulanır. Merkezi registry/value engine ve predecessor evidence oluşmadan code-start NO-GO'dur.","task-materialized+task-ref+catalog","","golden-slice-ref","s-pim","","archetype-eav","","no"
"docs/archetype-inventory-stock-directive.md","directive-contract","task-materialize","ArcheType Envanter / Stok Yönergesi — Depo, Stok Kalemi, Lot, Seri No…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-inventory","s-inventory","","inventory-stock","","no"
"docs/archetype-ledger-directive.md","directive-contract","task-materialize","Kaynağın ortak WBS sahibi archetype-ledger mevcut node setinde yoktur; s-accounting yalnız consumer projection ve raporlama izdüşümü sahibidir. MRP/HRMS'in de paylaşacağı motor Accounting içine gömülemez; owner evidence gelene kadar NO-GO blocker'dır.","task-materialized+task-ref+catalog","","s-accounting","s-accounting","","ledger-double-entry","","no"
"docs/archetype-listing-directive.md","directive-contract","task-materialize","ArcheType Listing Yönergesi — İlan (Classified Listing) Metamodeli: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-marketplace","s-marketplace","","marketplace-listing","","no"
"docs/archetype-messaging-thread-directive.md","directive-contract","task-materialize","ArcheType Mesajlaşma / Thread / Feed Yönergesi — Kanal, Thread, Mesaj…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-conversational","s-conversational","","messaging-thread","","no"
"docs/archetype-numeronym-eslemesi.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref+catalog","","std-schema-foundation","golden-slice-ref","","catalog-archetype-numeronym-crosswalk","","no"
"docs/archetype-order-line-item-directive.md","directive-contract","task-materialize","ArcheType Order/Line-Item Yönergesi — Sipariş + Satır Kalemleri + Ful…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-sales","s-sales","","order-line","","no"
"docs/archetype-org-employment-directive.md","directive-contract","task-materialize","ArcheType Org-Employment Yönergesi — Organizasyon, İstihdam ve İşgücü…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-hrms","s-hrms","","org-employment","","no"
"docs/archetype-storage-canonical-directive.md","directive-contract","task-materialize","Korunan k-archetype-storage module düğümü yerine izinli archetype-storage-contract yürütülebilir alt görevi modellenmiştir; hibrit JSONB depolama sözleşmesi bu leaf task içeriğine uygulanır.","task-materialized+task-ref","","k-archetype-storage","archetype-storage-contract","","archetype-storage-contract","","no"
"docs/archetype-taxonomy-directive.md","directive-contract","task-materialize","ArcheType Taksonomi Yönergesi — Uluslararası Standart Bağlama (ETIM/U…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-pim","s-pim","","pim-taxonomy","","no"
"docs/archetype-tree-relation-directive.md","directive-contract","task-materialize","Kaynağın gerçek WBS sahibi k-archetype-relation mevcut node setinde yoktur; s-pim yalnız Category/ProductFamily/Taxonomy consumer projection'ını taşır. Merkezi graph/temporal engine evidence oluşmadan code-start NO-GO blocker'dır.","task-materialized+task-ref+catalog","","golden-slice-ref","s-pim","","archetype-tree-relation","","no"
"docs/archetype-uretim-spec.md","directive-contract","task-materialize","ArcheType Üretim & Düzenleme Spec'i (AI-first, güvenli, admin-yönetil…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","golden-slice-ref","golden-slice-ref","","archetype-production-admin-flow","","no"
"docs/archetype-variant-attribute-family-directive.md","directive-contract","task-materialize","ArcheType Varyant + Öznitelik-Ailesi + Öznitelik-Mirası Yönergesi — A…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-pim","s-pim","","pim-variant-family","","no"
"docs/archetype-venture-core-directive.md","human-decision","human-decision","CPO, generic EVM product boundary ile venture-core spine kararını kabul etmeli; PMO gerçek inline EVM archetype ve dependency zincirini oluşturmalıdır. Arsam yalnız ilk tenant/veri örneğidir, generic schema veya görev sahibi değildir.","task-materialized+decision-ref+human-decision","","","s-pmo","","decision-venture-core-boundary","","yes"
"docs/atom-archetype-bagi-clm-ornegi-2026-07-01.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref+catalog","","atomic-type-contract|golden-slice-ref","atomic-type-contract|s-clm","","catalog-atom-archetype-clm-derivation","","no"
"docs/atom-micro-step-gap-unknown-unknowns-report-2026-07-12.md","gap-audit","task-materialize","Açık atom/micro-step ayrımı, sahiplik ve doğrulama boşlukları evidence sayılmadan ilgili executable leaf görevlerin deliverable, kabul, test ve rollback sözleşmelerine uygulanır.","task-materialized+task-ref+catalog","","k-wbs","atom-crm-domain-blocklist|atom-crm-email-regex|atom-crm-score-range-check","","atom-runtime-golden-slice-residual","","no"
"docs/atomic-types-directive.md","directive-contract","task-materialize","Korunan atomik-tip motoru yeniden uygulanmaz; canonical Money, Measure, I18nText ve AttributeSet tüketim/round-trip yükümlülükleri gerçek domain consumer görevlerine materyalize edilir.","task-materialized+task-ref","","atomic-types","customer|product|s-accounting|s-billing|s-commerce|s-inventory|s-pim","","atomic-type-runtime-contract","","no"
"docs/atomik-netlestirme-2026-07-01.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref","","atomic-type-contract|atomic-types","atomic-type-contract","","catalog-atomic-tier-decision-contract","","no"
"docs/atomik-primitif-katman-gap-2026-07-01.md","gap-audit","reference-only","Atomik Primitif Katmanı — Gap, Gereksinim ve Unknown-Unknowns Analizi: tarihsel bulgu veya durum kaydıdır; runtime kanıtı değil, referanstır.","task-ref+catalog","","golden-slice-ref","","","","","no"
"docs/atomik-tip-gelistirici-yonergesi.md","directive-contract","task-materialize","Atom, Fragment ve ArcheType seçim ağacı ile anti-pattern fixture'ları modelleme contract görevlerinde doğrulanabilir kriterlere dönüştürülür.","task-materialized+task-ref","","atomic-types","golden-slice-ref|std-contracts","","atomic-type-selection-guide","","no"
"docs/atomik-tip-katalogu-tam-2026-07-01.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref","","atomic-type-contract|atomic-types","atomic-type-contract","","catalog-atomic-type-catalog-vectors","","no"
"docs/audit-report.md","gap-audit","reference-only","Denetim Raporu (audit): tarihsel bulgu veya durum kaydıdır; runtime kanıtı değil, referanstır.","task-ref+catalog","","std-ci-gates","","","","","no"
"docs/be-sdk-readiness-gap-2026-07-09.md","gap-audit","task-materialize","Belgedeki açık SDK readiness bulguları task evidence sayılmadan sdk-public-contract görevinde risk, remediation, test, verification ve release kriterlerine projekte edilir.","task-materialized+task-ref","","be-sdk","sdk-public-contract","","be-sdk-readiness-open-gaps","","no"
"docs/capability-entitlement-contract.md","directive-contract","task-materialize","Korunan k-capability registry yeniden uygulanmaz; entitlement, default-deny, UI/backend paritesi ve approval audit tüketim kuralları capability-gated consumer görevlere dağıtılır.","standard-ref+task-materialized+task-ref","c12n|p13n","k-capability","s-billing|s-commerce|s-marketplace|s-membership|s-pim|s-studio|s-subscription-commerce","","capability-entitlement-runtime-contract","","no"
"docs/ci-conformance-gates.md","engineering-standard","task-materialize","CI Conformance Kapıları — Kapı Kataloğu: standard prose'u kopyalanmadan etkin rule'un görev-özgü kontrollerine kaynak olur.","task-materialized+task-ref","","std-ci-gates","std-ci-gates","","governance-gates","","no"
"docs/claude-ai-archetype-eca-directive.md","directive-contract","task-materialize","Claude Directive: AI ArcheType + Backend ECA Guardrails: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref","","k-schema|l1-workflow","s-bpm","","archetype-eca-guardrails","","no"
"docs/commerce-os-bounded-context-map.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref+catalog","","s-inventory|s-sales","s-commerce|s-inventory|s-marketplace|s-sales","","catalog-commerce-bounded-context-map","","no"
"docs/commerce-os-capability-classification.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref+catalog","","s-inventory|s-sales","s-commerce|s-marketplace|s-payment-methods|s-pim","","catalog-commerce-capability-triage","","no"
"docs/commerce-os-contract-test-plan.md","directive-contract","task-materialize","Commerce Operating System — Contract-Test Plan (Test-Önce Talimat): etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-inventory|s-sales","s-inventory|s-sales","","commerce-contract-red-families","","no"
"docs/commerce-os-data-migration-contract.md","directive-contract","task-materialize","Commerce Operating System — Data / Migration Contract (Talimat): etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref+catalog","","s-inventory|s-sales","s-inventory|s-sales","","commerce-data-migration-boundary","","no"
"docs/commerce-os-kernel-sdk-gap-directive.md","gap-audit","task-materialize","Açık Kernel/SDK sözleşme ve yayın boşlukları evidence sayılmadan ilgili executable görevlerin remediation, test, verification ve release kriterlerine uygulanır.","task-materialized+task-ref+catalog","","golden-slice-ref","s-commerce|s-marketplace|s-payment-methods|s-pos|sdk-public-contract","","commerce-kernel-sdk-gap-disposition","","no"
"docs/commerce-os-product-scope.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref+catalog","","s-inventory|s-sales","s-commerce","","catalog-commerce-product-scope","","no"
"docs/commerce-os-stack-app-composition.md","catalog-reference","task-materialize","Belgedeki uygulanabilir katalog, eşleme ve çalışma sözleşmeleri source-specific rule ile seçili executable görevlerin deliverable, kabul, test, doğrulama ve bakım içeriğine uygulanır; örnek veya geçmiş durum evidence sayılmaz.","task-materialized+task-ref+catalog","","s-inventory|s-sales","s-billing|s-commerce|s-cpq|s-marketplace|s-pim","","catalog-commerce-stack-composition","","no"
"docs/commerce-os-test-first-parallel-handoff.md","handoff-agent-pack","task-materialize","Legacy sınıf adı ref uyumluluğu için korunur; Commerce master handoff yalnız human-developer-only yürütme, AI read-only-audit, kapsam, test ve evidence kapısı sağlar.","task-materialized+task-ref+catalog","","golden-slice-ref","s-inventory|s-sales","","commerce-test-first-handoff","","no"
"docs/commerce-os-vibecoder-readiness-oracles.md","gap-audit","task-materialize","O1–O12 oracle'ları geçmiş kanıt sayılmadan human-developer-only Commerce handoff'una uygulanır; AI yalnız read-only-audit yapar.","task-materialized+task-ref+catalog","","golden-slice-ref","s-commerce|sdk-app-core-template|sdk-public-contract|std-ci-gates","","commerce-vibecoder-readiness-oracles","","no"
"docs/commerce-os-vibecoder-task-packets.md","handoff-agent-pack","task-materialize","Legacy dosya/sınıf adı ref uyumluluğu için korunur; V0…V16 packet'leri yalnız human-developer-only uygulama, AI read-only-audit, kapsam, test ve evidence kapısı sağlar.","task-materialized+task-ref+catalog","","golden-slice-ref","s-inventory|s-sales","","commerce-vibecoder-packets","","no"
"docs/computation-derivation-contract.md","directive-contract","task-materialize","Korunan k-computation motoru yeniden uygulanmaz; computation_ref, typed input/output, precision, provenance ve overwrite yasağı hesaplama tüketen domain görevlere dağıtılır.","task-materialized+task-rollup-n-a+task-ref","","k-computation","product|s-accounting|s-billing|s-demand-planning|s-fpa|s-inventory|s-mrp|s-pim|s-revenue-recognition","cc-fx-ledger","computation-derivation-runtime-contract","computation-derivation-runtime-contract","no"
"docs/core-contract-pack.md","directive-contract","task-materialize","Core Contract Pack v1: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","standard-ref+task-materialized+task-rollup-n-a+task-ref","sdk-development","build-sequence|customer|k-authz|k-bus|k-capability|k-policy-pdp|k-tenancy|l1-audit|l1-workflow|platform-authn-authz|platform-customer-graphql|platform-customer-model|platform-db-schema|platform-factory|platform-graphql-api|platform-observability|platform-tenancy","customer|std-ci-gates","platform-customer-graphql|platform-customer-model|platform-customer-seed|platform-customer-ui","core-contract-ci|core-contract-platform-customer","core-contract-platform-customer","no"
"docs/core-enterprise-maturity-ladder.md","engineering-standard","task-materialize","L1/L2/L3 DoD ve insan-onaylı graduation yükümlülükleri standard prose kopyalanmadan CI-gate ve PMO executable görevlerine uygulanır.","task-materialized+task-ref+catalog","","std-ci-gates","s-pmo|std-ci-gates","","portfolio-maturity-graduation-contract","","no"
"docs/data-quality-report.md","gap-audit","reference-only","Veri Kalitesi Raporu — actionplan nodes.json: tarihsel bulgu veya durum kaydıdır; runtime kanıtı değil, referanstır.","task-ref+catalog","","std-ci-gates","","","","","no"
"docs/decision-grade-data-contract.md","directive-contract","task-materialize","Decision-Grade Data Contract — Karar Verisi Doğruluk Zinciri: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","standard-ref+task-materialized+task-ref+catalog","decision-grade-data","s-data-catalog","s-data-catalog","","decision-grade-data","","no"
"docs/deploy-separation-runbooks.md","directive-contract","task-materialize","Deploy Ayrımı Runbook'ları — Docs Deploy vs Product Deploy (3 Ayrı Ru…: etkin rule ile seçili görevlere ölçülebilir sözleşme yükümlülükleri sağlar.","task-materialized+task-ref","","deploy-yap|platform-cicd","deploy-yap","","deployment-runbook","","no"
